unix_ts,V,I,f,DPF,APF,P,Pt,Q,Qt,S,St
1393264440,118.8,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187876
1393264500,118.2,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187876
1393264560,118.5,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187876
1393264620,118.3,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187876
1393264680,118.1,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187876
1393264740,118.1,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187877
1393264800,118.0,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187877
1393264860,118.2,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187877
1393264920,118.0,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187877
1393264980,118.5,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187877
1393265040,118.6,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187877
1393265100,119.0,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187878
1393265160,118.7,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187878
1393265220,118.7,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187878
1393265280,118.8,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187878
1393265340,119.0,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187878
1393265400,118.3,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187878
1393265460,118.7,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187878
1393265520,118.1,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187879
1393265580,119.5,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187879
1393265640,119.8,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187879
1393265700,119.5,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187879
1393265760,119.4,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187879
1393265820,119.8,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187879
1393265880,119.5,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187879
1393265940,119.7,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187880
1393266000,120.0,0.0,60.0,1.0,0.1,0,20016,0,2078,9,187880
1393266060,119.2,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187880
1393266120,119.5,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187880
1393266180,120.0,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187880
1393266240,119.4,0.0,60.0,0.89,0.1,0,20016,0,2078,9,187880
1393266300,119.6,0.0,60.0,1.0,0.1,0,20016,0,2078,9,187880
1393266360,119.8,0.0,60.0,1.0,0.1,0,20016,0,2078,9,187881
1393266420,119.5,0.0,60.0,1.0,0.1,0,20016,0,2078,9,187881
1393266480,119.4,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187881
1393266540,119.5,0.0,60.06,0.71,0.05,0,20016,0,2078,9,187881
1393266600,119.4,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187881
1393266660,119.7,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187881
1393266720,119.3,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187881
1393266780,119.5,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187882
1393266840,119.4,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187882
1393266900,119.6,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187882
1393266960,118.9,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187882
1393267020,119.4,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187882
1393267080,119.2,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187882
1393267140,119.0,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187882
1393267200,118.7,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187883
1393267260,119.0,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187883
1393267320,118.8,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187883
1393267380,119.3,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187883
1393267440,119.5,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187883
1393267500,119.8,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187883
1393267560,120.4,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187884
1393267620,120.4,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187884
1393267680,120.1,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187884
1393267740,120.2,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187884
1393267800,119.7,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187884
1393267860,119.9,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187884
1393267920,119.5,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187884
1393267980,119.5,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187885
1393268040,119.7,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187885
1393268100,118.5,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187885
1393268160,118.3,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187885
1393268220,118.3,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187885
1393268280,117.9,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187885
1393268340,118.4,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187885
1393268400,118.2,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187886
1393268460,118.7,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187886
1393268520,118.7,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187886
1393268580,118.6,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187886
1393268640,118.5,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187886
1393268700,117.9,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187886
1393268760,117.9,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187886
1393268820,117.7,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187887
1393268880,117.5,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187887
1393268940,117.9,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187887
1393269000,118.0,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187887
1393269060,118.4,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187887
1393269120,118.2,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187887
1393269180,118.3,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187887
1393269240,118.7,0.0,60.12,1.0,0.05,0,20016,0,2078,9,187888
1393269300,118.6,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187888
1393269360,118.5,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187888
1393269420,118.1,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187888
1393269480,118.5,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187888
1393269540,118.8,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187888
1393269600,118.3,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187889
1393269660,118.6,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187889
1393269720,118.7,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187889
1393269780,118.3,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187889
1393269840,117.6,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187889
1393269900,118.3,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187889
1393269960,118.4,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187889
1393270020,118.4,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187890
1393270080,118.6,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187890
1393270140,119.2,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187890
1393270200,118.4,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187890
1393270260,117.9,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187890
1393270320,118.3,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187890
1393270380,118.2,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187890
1393270440,118.6,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187891
1393270500,118.0,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187891
1393270560,118.7,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187891
1393270620,118.8,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187891
1393270680,118.6,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187891
1393270740,118.8,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187891
1393270800,119.0,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187891
1393270860,119.5,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187892
1393270920,119.2,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187892
1393270980,119.5,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187892
1393271040,118.8,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187892
1393271100,119.5,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187892
1393271160,119.3,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187892
1393271220,119.1,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187892
1393271280,119.2,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187893
1393271340,119.1,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187893
1393271400,119.0,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187893
1393271460,119.3,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187893
1393271520,119.5,0.0,60.12,0.71,0.05,0,20016,0,2078,9,187893
1393271580,119.3,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187893
1393271640,119.1,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187893
1393271700,119.4,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187894
1393271760,119.5,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187894
1393271820,119.3,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187894
1393271880,119.4,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187894
1393271940,119.1,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187894
1393272000,118.1,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187894
1393272060,118.5,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187895
1393272120,118.6,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187895
1393272180,118.6,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187895
1393272240,118.6,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187895
1393272300,118.7,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187895
1393272360,118.3,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187895
1393272420,117.6,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187895
1393272480,117.7,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187896
1393272540,116.6,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187896
1393272600,116.9,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187896
1393272660,116.9,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187896
1393272720,117.1,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187896
1393272780,118.3,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187896
1393272840,117.4,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187896
1393272900,118.1,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187897
1393272960,117.9,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187897
1393273020,118.9,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187897
1393273080,118.9,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187897
1393273140,118.4,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187897
1393273200,118.1,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187897
1393273260,118.7,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187897
1393273320,118.1,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187898
1393273380,118.3,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187898
1393273440,118.4,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187898
1393273500,119.4,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187898
1393273560,118.8,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187898
1393273620,118.1,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187898
1393273680,118.4,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187898
1393273740,118.6,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187899
1393273800,118.5,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187899
1393273860,118.5,0.0,60.06,1.0,0.05,0,20016,0,2078,9,187899
1393273920,118.6,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187899
1393273980,119.9,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187899
1393274040,119.9,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187899
1393274100,120.1,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187900
1393274160,118.7,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187900
1393274220,118.6,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187900
1393274280,119.0,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187900
1393274340,119.2,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187900
1393274400,119.3,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187900
1393274460,119.3,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187900
1393274520,118.9,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187901
1393274580,118.8,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187901
1393274640,118.7,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187901
1393274700,119.0,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187901
1393274760,119.5,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187901
1393274820,119.5,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187901
1393274880,120.0,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187901
1393274940,120.0,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187902
1393275000,120.1,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187902
1393275060,119.8,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187902
1393275120,119.7,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187902
1393275180,119.5,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187902
1393275240,119.2,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187902
1393275300,119.4,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187902
1393275360,119.1,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187903
1393275420,119.8,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187903
1393275480,119.1,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187903
1393275540,119.7,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187903
1393275600,119.9,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187903
1393275660,119.4,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187903
1393275720,120.3,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187903
1393275780,120.5,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187904
1393275840,120.3,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187904
1393275900,120.8,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187904
1393275960,119.8,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187904
1393276020,120.2,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187904
1393276080,120.6,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187904
1393276140,120.5,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187904
1393276200,120.2,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187905
1393276260,120.8,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187905
1393276320,120.1,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187905
1393276380,119.9,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187905
1393276440,120.3,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187905
1393276500,120.4,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187905
1393276560,120.5,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187906
1393276620,120.5,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187906
1393276680,119.6,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187906
1393276740,119.3,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187906
1393276800,119.5,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187906
1393276860,119.6,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187906
1393276920,120.0,0.0,60.06,1.0,0.0,0,20016,0,2078,9,187906
1393276980,120.9,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187907
1393277040,120.6,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187907
1393277100,120.3,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187907
1393277160,121.0,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187907
1393277220,120.9,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187907
1393277280,120.7,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187907
1393277340,120.2,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187907
1393277400,120.3,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187908
1393277460,120.3,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187908
1393277520,119.6,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187908
1393277580,120.1,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187908
1393277640,120.1,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187908
1393277700,120.1,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187908
1393277760,119.7,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187908
1393277820,120.1,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187909
1393277880,120.0,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187909
1393277940,120.2,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187909
1393278000,120.3,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187909
1393278060,120.3,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187909
1393278120,120.1,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187909
1393278180,120.2,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187909
1393278240,120.3,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187910
1393278300,120.4,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187910
1393278360,119.8,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187910
1393278420,120.0,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187910
1393278480,119.9,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187910
1393278540,120.0,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187910
1393278600,119.4,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187911
1393278660,118.9,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187911
1393278720,118.8,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187911
1393278780,118.7,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187911
1393278840,119.0,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187911
1393278900,119.1,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187911
1393278960,119.7,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187911
1393279020,119.8,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187912
1393279080,119.6,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187912
1393279140,119.8,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187912
1393279200,119.7,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187912
1393279260,119.6,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187912
1393279320,119.4,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187912
1393279380,120.2,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187912
1393279440,120.2,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187913
1393279500,120.1,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187913
1393279560,119.9,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187913
1393279620,120.1,0.0,60.06,1.0,0.05,0,20016,0,2078,9,187913
1393279680,119.7,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187913
1393279740,119.7,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187913
1393279800,119.7,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187913
1393279860,119.9,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187914
1393279920,119.3,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187914
1393279980,119.2,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187914
1393280040,119.6,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187914
1393280100,119.7,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187914
1393280160,119.3,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187914
1393280220,119.5,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187914
1393280280,119.4,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187915
1393280340,119.6,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187915
1393280400,119.5,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187915
1393280460,120.1,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187915
1393280520,119.7,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187915
1393280580,119.4,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187915
1393280640,119.5,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187916
1393280700,119.4,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187916
1393280760,119.1,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187916
1393280820,119.2,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187916
1393280880,119.1,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187916
1393280940,120.1,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187916
1393281000,119.8,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187916
1393281060,119.5,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187917
1393281120,120.0,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187917
1393281180,119.8,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187917
1393281240,119.8,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187917
1393281300,119.9,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187917
1393281360,119.8,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187917
1393281420,119.9,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187917
1393281480,119.3,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187918
1393281540,119.3,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187918
1393281600,119.8,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187918
1393281660,120.3,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187918
1393281720,119.9,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187918
1393281780,120.1,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187918
1393281840,120.4,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187918
1393281900,120.3,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187919
1393281960,120.2,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187919
1393282020,120.4,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187919
1393282080,120.1,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187919
1393282140,119.9,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187919
1393282200,119.9,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187919
1393282260,119.5,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187919
1393282320,119.8,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187920
1393282380,119.3,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187920
1393282440,119.6,0.0,60.06,1.0,0.05,0,20016,0,2078,9,187920
1393282500,120.1,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187920
1393282560,120.1,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187920
1393282620,120.5,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187920
1393282680,120.6,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187920
1393282740,120.0,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187921
1393282800,120.0,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187921
1393282860,119.8,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187921
1393282920,119.4,0.0,60.12,1.0,0.0,0,20016,0,2078,9,187921
1393282980,119.7,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187921
1393283040,120.3,0.0,60.06,1.0,0.05,0,20016,0,2078,9,187921
1393283100,120.4,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187922
1393283160,120.3,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187922
1393283220,120.5,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187922
1393283280,120.4,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187922
1393283340,120.4,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187922
1393283400,120.0,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187922
1393283460,120.0,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187922
1393283520,119.6,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187923
1393283580,120.2,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187923
1393283640,119.6,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187923
1393283700,120.2,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187923
1393283760,120.1,0.0,60.0,0.71,0.05,0,20016,0,2078,9,187923
1393283820,120.3,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187923
