proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,'ct_src_ ltm',ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,Label
tcp,FIN,0.185045,8712,208,31,29,1,0,-,338987.8125,6744.305176,10,4,255,255,2735069890,1323461697,871,52,0,0,57.439773,86.327602,1421938086,1421938087,20.560555,61.047332,0,0,0,0,0,0,0,0,2,6,4,4,1,1,2,0
tcp,FIN,0.044016,3926,55074,31,29,7,27,-,702835.3125,9862777,66,68,255,255,1889635990,1889941314,59,810,0,0,41.629621,40.417283,1421937532,1421937532,0.672323,0.648224,0.000709,0.000574,0.000135,0,0,0,0,0,5,3,1,3,1,1,1,0
tcp,FIN,0.789726,7806,15474,31,29,30,32,-,78437.32813,155517.2188,122,126,255,255,4089166029,1940699755,64,123,0,0,438.461916,434.64931,1421950106,1421950107,6.523744,6.313392,0.000689,0.000548,0.000141,0,0,0,0,0,2,7,5,1,1,1,1,0
tcp,FIN,3.320208,13766,548216,31,29,21,197,-,33031.66406,1317905.375,240,438,255,255,2127728286,26726042,57,1252,0,0,4850.353189,3580.099907,1421950246,1421950249,13.890762,7.596588,0.000636,0.000488,0.000148,0,0,0,0,0,8,19,5,2,2,1,2,0
tcp,FIN,25.487133,48464,85554,31,29,144,199,ssh,15187.58496,26814.78516,618,682,255,255,1303700994,3449332550,78,125,0,0,3077.107568,2926.714537,1421931307,1421931333,41.307533,37.425295,0.000636,0.000498,0.000138,0,0,0,0,0,1,1,4,1,1,1,1,0
tcp,FIN,0.006047,2158,2464,31,29,6,6,-,2737225,3124855.25,24,24,255,255,4050471931,1901282203,90,103,0,0,15.27882,0.329115,1421931788,1421931788,0.247739,0.23113,0.000852,0.00072,0.000132,0,0,0,0,0,5,3,3,2,1,1,1,0
tcp,FIN,1.12014,1684,10168,31,29,3,5,http,11170.0332,68591.42969,14,18,255,255,3473611531,1329209918,120,565,1,3924,9626.727942,8427.569383,1421954185,1421954187,86.135767,65.860647,0.000635,0.000505,0.00013,0,0,1,0,0,2,1,2,2,1,1,1,0
tcp,FIN,0.298669,866,268,254,252,2,1,http,20892.69336,5999.953125,10,6,255,255,4060905359,3226700423,87,45,1,0,1452.060391,73.790883,1421927761,1421927761,29.259,52.456398,0.084726,0.036375,0.048351,0,1,1,0,0,1,1,1,5,1,1,1,1
udp,CON,0.036092,536,304,31,29,0,0,-,89105.625,50537.51953,4,4,0,0,0,0,134,76,0,0,9.873333,10.837591,1421933946,1421933946,6.987,7.670333,0,0,0,0,0,0,0,0,7,19,5,2,1,1,2,0
tcp,FIN,0.080134,2958,31784,31,29,7,18,-,289215.5625,3109691.5,48,50,255,255,952314233,3102202042,62,636,0,0,100.582329,97.819874,1421937023,1421937023,1.69483,1.622918,0.000735,0.0006,0.000135,0,0,0,0,0,7,7,4,6,1,1,1,0
tcp,CON,0.030836,4342,65274,31,29,7,31,-,1111428.25,16699443,74,72,255,255,819584572,2977306075,59,907,0,0,0,21.374683,1421947914,1421947914,0.422411,0.41462,0.000709,0.00054,0.000169,0,0,0,0,0,2,3,4,7,1,1,2,0
tcp,FIN,2.052944,12414,548216,31,29,21,197,-,48149.39063,2131436.75,214,438,255,255,1764812770,1770430967,58,1252,0,0,3155.805565,2203.214979,1421938663,1421938665,9.636737,4.69675,0.000653,0.000461,0.000192,0,0,0,0,0,9,9,5,2,2,1,2,0
tcp,FIN,0.004254,1064,2260,31,29,4,4,-,1835449.125,3896568,12,12,255,255,1705192799,3850885025,89,188,0,0,17.725074,0.402238,1421928351,1421928351,0.354636,0.331182,0.000764,0.000603,0.000161,0,0,0,0,0,6,2,1,1,1,1,1,0
tcp,FIN,0.016449,2958,31788,31,29,7,18,-,1408961,15151316,48,50,255,255,501874098,2656805857,62,636,0,0,0,19.110218,1421941303,1421941303,0.343043,0.324388,0.000684,0.00055,0.000134,0,0,0,0,0,9,12,2,2,1,1,1,0
tcp,FIN,0.012995,2230,14952,31,29,7,11,-,1332820.375,8949288,34,36,255,255,835699275,835996954,66,415,0,0,26.040886,22.846166,1421933386,1421933386,0.384121,0.355,0.000696,0.000569,0.000127,0,0,0,0,0,17,16,5,7,1,1,4,0
tcp,FIN,0.048044,2750,28874,31,29,7,16,-,447589.7188,4703522,44,46,255,255,3176291096,3176622744,63,628,0,0,79.815558,69.830212,1421945470,1421945470,1.108837,1.054689,0.000693,0.000572,0.000121,0,0,0,0,0,9,18,14,8,4,4,4,0
tcp,FIN,0.511399,424,8824,31,29,1,4,ftp-data,5803.687988,126539.1641,8,12,255,255,411516296,2970549091,53,735,0,0,4527.554169,3558.701734,1421951074,1421951075,72.998571,46.442817,0.000645,0.000522,0.000123,0,0,0,0,0,1,1,3,4,1,1,1,0
udp,CON,0.001093,146,178,31,29,0,0,dns,534309.1875,651418.0625,2,2,0,0,0,0,73,89,0,0,0,0,1421950034,1421950034,0.011,0.008,0,0,0,0,0,0,0,0,5,3,4,8,2,1,1,0
tcp,FIN,3.243415,18682,1087890,31,29,2,370,http,45949.09766,2679723.5,350,746,255,255,320700953,2467284778,53,1458,1,524288,3208.973849,2191.53649,1421951442,1421951445,9.292519,4.352795,0.000724,0.000579,0.000145,0,0,1,0,0,2,2,1,1,1,1,1,0
udp,CON,0.124266,568,312,31,29,0,0,-,27425.04102,15064.45898,4,4,0,0,0,0,142,78,0,0,51.378379,34.350539,1421948501,1421948501,36.336,24.298,0,0,0,0,0,0,0,0,9,12,9,2,1,1,2,0
tcp,FIN,0.046975,8928,424,31,29,4,1,ftp-data,1411985,63182.54297,14,8,255,255,3736418254,4040656550,638,53,0,0,392.498389,16.052,1421948410,1421948410,3.613461,6.615714,0.000662,0.000526,0.000136,0,0,0,0,0,2,1,2,3,1,1,2,0
tcp,FIN,0.841675,2934,3742,31,29,11,15,-,27354.97656,34911.33984,52,54,255,255,927925620,928963356,56,69,0,0,1575.277453,52.824523,1421932778,1421932778,16.497,15.869905,0.001757,0.000565,0.001192,0,0,0,0,0,14,10,7,7,1,1,5,0
tcp,FIN,1.007342,1684,10168,31,29,3,5,http,12420.80664,76272.01563,14,18,255,255,3795004562,3791897551,120,565,1,3924,8774.733263,7683.261395,1421927854,1421927855,77.459695,59.222882,0.000701,0.000546,0.000155,0,0,1,0,0,1,3,2,1,1,1,1,0
udp,CON,0.001054,146,178,31,29,0,0,dns,554079.6875,675521.8125,2,2,0,0,0,0,73,89,0,0,0,0,1421927606,1421927606,0.011,0.01,0,0,0,0,0,0,0,0,2,4,3,4,2,1,3,0
udp,CON,0.001103,146,178,31,29,0,0,-,529465.0625,645512.25,2,2,0,0,0,0,73,89,0,0,0,0,1421934630,1421934630,0.011,0.008,0,0,0,0,0,0,0,0,18,13,2,9,1,1,1,0
tcp,FIN,3.899688,1130,25220,62,252,7,16,-,2221.716309,50301.46094,24,36,255,255,2666177138,1703346932,47,701,0,0,11033.02421,9109.636821,1421933301,1421933305,169.551652,109.314544,0.209123,0.072926,0.136197,0,1,0,0,0,1,3,1,1,1,1,1,1
tcp,FIN,1.007957,1684,10168,31,29,3,5,http,12413.22852,76225.47656,14,18,255,255,1292243390,3442824360,120,565,1,3924,8765.799256,7675.334677,1421944121,1421944122,77.506767,59.263059,0.000604,0.000482,0.000122,0,0,1,0,0,2,2,1,1,1,1,1,0
tcp,FIN,0.019298,2766,25742,31,29,7,16,-,1120945.125,10439631,44,46,255,255,824448210,824751233,63,560,0,0,26.631565,24.814788,1421949528,1421949528,0.440558,0.415556,0.000765,0.000587,0.000178,0,0,0,0,0,7,7,4,4,1,1,2,0
tcp,FIN,1.160021,1684,10168,31,29,3,5,http,10786.01172,66233.28906,14,18,255,255,200986131,254305519,120,565,1,3924,8832.903926,7737.803565,1421939466,1421939467,89.200462,68.202294,0.00073,0.000578,0.000152,0,0,1,0,0,2,2,2,3,1,1,1,0
udp,CON,0.001071,130,162,31,29,0,0,dns,485527.5313,605042,2,2,0,0,0,0,65,81,0,0,0,0,1421945738,1421945738,0.01,0.008,0,0,0,0,0,0,0,0,2,3,4,3,1,1,3,0
tcp,FIN,0.027645,3494,41228,31,29,7,22,-,993742.125,11725231,58,58,255,255,637076691,2782769900,60,711,0,0,27.030943,0.738882,1421953386,1421953386,0.479386,0.474632,0.000721,0.00058,0.000141,0,0,0,0,0,5,2,1,2,1,1,1,0
udp,CON,0.001125,146,178,31,29,0,0,dns,519111.125,632888.9375,2,2,0,0,0,0,73,89,0,0,0,0,1421954341,1421954341,0.018,0.012,0,0,0,0,0,0,0,0,3,3,2,3,1,1,1,0
udp,CON,0.001066,146,178,31,29,0,0,dns,547842.4375,667917.4375,2,2,0,0,0,0,73,89,0,0,0,0,1421927562,1421927562,0.011,0.008,0,0,0,0,0,0,0,0,2,3,2,2,2,1,1,0
tcp,FIN,0.027054,3062,31680,31,29,7,18,-,887410.3125,9172765,50,48,255,255,3818094037,1673012338,61,660,0,0,32.040817,0.883248,1421937110,1421937110,0.527571,0.563745,0.000706,0.000548,0.000158,0,0,0,0,0,13,6,3,4,1,1,1,0
tcp,FIN,3.694424,1920,4312,31,29,6,6,-,3969.225098,8949.704102,22,24,255,255,96845877,97101804,87,180,0,0,14411.39942,13773.97729,1421943485,1421943489,175.908622,160.601788,0.000733,0.000577,0.000156,0,0,0,0,0,5,7,1,3,2,1,1,0
udp,CON,0.001038,146,178,31,29,0,0,dns,562620.4375,685934.5,2,2,0,0,0,0,73,89,0,0,0,0,1421931839,1421931839,0.01,0.005,0,0,0,0,0,0,0,0,1,3,2,3,1,1,1,0
tcp,FIN,0.004505,8928,320,31,29,4,1,ftp-data,14723196,474139.8438,14,6,255,255,3077696910,940595775,638,53,0,0,17.5201,1.247844,1421939932,1421939932,0.346538,0.7738,0.000552,0.000439,0.000113,0,0,0,0,0,3,3,7,9,1,1,5,0
udp,CON,0.004529,568,304,31,29,0,0,-,752484,402737.9375,4,4,0,0,0,0,142,76,0,0,1.692815,1.422463,1421934992,1421934992,1.205,1.010333,0,0,0,0,0,0,0,0,5,13,5,4,1,1,3,0
tcp,FIN,0.550234,37690,3484,31,29,18,8,smtp,537458.5625,49506.20703,52,44,255,255,3171438943,1073874050,725,79,0,0,806.000107,25.202703,1421940029,1421940030,10.781078,12.78014,0.00083,0.000684,0.000146,0,0,0,0,0,2,1,2,4,2,1,1,0
tcp,FIN,1.177148,1684,10168,31,29,3,5,http,10629.08008,65269.61719,14,18,255,255,3519962998,3520945302,120,565,1,3924,10076.98294,8827.471573,1421946272,1421946273,90.522156,69.210471,0.000701,0.000566,0.000135,0,0,1,0,0,1,2,3,1,1,1,1,0
tcp,FIN,0.52899,568,354,254,252,2,1,-,7743.058105,4688.179688,10,8,255,255,4114922016,4138810538,57,44,0,0,3488.427905,113.91843,1421930438,1421930439,54.700111,69.44457,0.101599,0.04287,0.058729,0,1,0,0,0,1,1,1,1,1,1,1,1
tcp,FIN,0.079644,3390,42312,31,29,7,22,-,334488.4688,4176887,56,58,255,255,2878771532,734323234,61,730,0,0,98.916158,96.416964,1421954220,1421954220,1.441855,1.386719,0.000711,0.00059,0.000121,0,0,0,0,0,11,2,5,3,1,1,1,0
tcp,FIN,0.07601,4014,61374,31,29,7,28,-,416261,6367372.5,68,70,255,255,4100091813,4110053571,59,877,0,0,69.529476,68.203602,1421953592,1421953592,1.129597,1.092406,0.000783,0.000631,0.000152,0,0,0,0,0,3,7,3,3,1,1,1,0
tcp,FIN,0.059742,37288,3380,31,29,18,8,smtp,4897191.5,441900.1563,52,42,255,255,1541723972,1542725010,717,80,0,0,69.575801,3.13036,1421945102,1421945102,1.164431,1.442634,0.001758,0.000588,0.00117,0,0,0,0,0,1,1,10,23,5,5,5,0
udp,CON,0.00181,520,304,31,29,0,0,-,1723756.875,1007734.813,4,4,0,0,0,0,130,76,0,0,0.643703,0.331878,1421943391,1421943391,0.459667,0.239667,0,0,0,0,0,0,0,0,2,3,4,3,1,1,1,0
udp,CON,0.004877,568,312,31,29,0,0,-,698790.25,383842.5313,4,4,0,0,0,0,142,78,0,0,1.762348,1.567656,1421943542,1421943542,1.253667,1.117,0,0,0,0,0,0,0,0,2,7,6,2,1,1,2,0
udp,CON,0.036163,528,304,31,29,0,0,-,87603.35156,50438.29688,4,4,0,0,0,0,132,76,0,0,9.426205,10.847489,1421932887,1421932887,6.676333,7.681333,0,0,0,0,0,0,0,0,7,12,4,2,1,1,2,0
udp,CON,0.001676,146,178,31,29,0,0,-,348448.6875,424821,2,2,0,0,0,0,73,89,0,0,0,0,1421932744,1421932744,0.018,0.01,0,0,0,0,0,0,0,0,10,10,1,4,2,1,1,0
tcp,FIN,6.135677,2692,3234,31,29,10,13,ftp,3436.94751,4129.291992,48,48,255,255,2117083857,2118120157,56,67,0,0,9737.136272,297.744875,1421945181,1421945188,130.539408,130.53432,0.000694,0.000561,0.000133,0,0,0,1,2,8,8,8,14,8,8,8,0
tcp,FIN,0.055583,37232,3380,31,29,18,8,smtp,5255707.5,474965.375,52,42,255,255,3605731822,3606659827,716,80,0,0,70.740108,3.408394,1421930201,1421930202,1.081667,1.344634,0.00057,0.000448,0.000122,0,0,0,0,0,2,2,2,4,1,1,1,0
tcp,FIN,0.01202,2542,21882,31,29,7,14,-,1649916.75,14216971,40,42,255,255,3212399142,3212741862,64,521,0,0,17.692483,16.864436,1421950266,1421950266,0.298795,0.277561,0.000779,0.000629,0.00015,0,0,0,0,0,6,5,3,9,1,1,1,0
tcp,FIN,0.026081,3806,52106,31,29,7,26,-,1149342.5,15740808,64,66,255,255,3083122870,938041598,59,789,0,0,22.226724,21.341591,1421955720,1421955720,0.407603,0.391985,0.000746,0.000592,0.000154,0,0,0,0,0,10,8,5,2,1,1,1,0
tcp,FIN,0.783844,7806,15310,31,29,30,32,-,79025.92969,155020.6406,122,126,255,255,3730170698,1585832153,64,122,0,0,434.120723,429.386303,1421932091,1421932092,6.47514,6.266408,0.000687,0.000535,0.000152,0,0,0,0,0,4,2,2,1,1,1,1,0
tcp,FIN,0.024991,3806,52106,31,29,7,26,-,1199471.75,16427354,64,66,255,255,3670214327,3670543683,59,789,0,0,20.828695,20.1854,1421955632,1421955632,0.390921,0.374523,0.000776,0.000636,0.00014,0,0,0,0,0,16,12,1,4,1,1,1,0
udp,CON,0.001167,146,178,31,29,0,0,-,500428.4375,610111.375,2,2,0,0,0,0,73,89,0,0,0,0,1421955439,1421955439,0.011,0.006,0,0,0,0,0,0,0,0,10,4,3,3,1,1,2,0
udp,CON,0.001011,146,178,31,29,0,0,dns,577645.875,704253.1875,2,2,0,0,0,0,73,89,0,0,0,0,1421934906,1421934906,0.009,0.009,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,0
tcp,FIN,0.038135,2334,16920,31,29,7,12,-,476202.9688,3456142.75,36,38,255,255,2427150773,2479130152,65,445,0,0,0,64.579264,1421934341,1421934341,1.079057,1.016649,0.000651,0.000515,0.000136,0,0,0,0,0,10,9,3,1,1,1,1,0
tcp,FIN,1.430091,1684,10168,31,29,3,5,http,8749.09375,53725.25,14,18,255,255,145408189,204638327,120,565,1,3924,10648.02863,9320.673125,1421952473,1421952474,109.978156,84.082941,0.000849,0.000676,0.000173,0,0,1,0,0,2,1,2,2,1,1,1,0
udp,CON,0.004552,568,312,31,29,0,0,-,748681.875,411247.7813,4,4,0,0,0,0,142,78,0,0,1.664293,1.426236,1421945195,1421945195,1.179333,1.014,0,0,0,0,0,0,0,0,11,12,10,10,2,2,5,0
tcp,FIN,32.533855,59066,70308,31,29,128,121,-,14490.25879,17249.23047,426,439,255,255,95153125,95413996,139,160,0,0,7567.358581,7446.411891,1421945303,1421945336,76.549316,74.276853,0.000715,0.000579,0.000136,0,0,0,0,0,38,39,40,38,29,29,31,0
tcp,FIN,0.011632,2438,19918,31,29,7,13,-,1632737.25,13356946,38,40,255,255,494709041,507614251,64,498,0,0,0,15.787343,1421948490,1421948490,0.304757,0.284821,0.000671,0.00052,0.000151,0,0,0,0,0,6,11,1,2,1,1,1,0
tcp,FIN,1.182383,3314,27552,31,29,9,14,-,21915.06641,182370.7031,44,46,255,255,1840213606,1840487419,75,599,0,0,1948.8129,1907.461935,1421943678,1421943679,27.488092,26.263333,0.000646,0.000526,0.00012,0,0,0,0,0,7,9,4,2,2,1,1,0
udp,CON,0.000972,146,178,31,29,0,0,dns,600823.0625,732510.3125,2,2,0,0,0,0,73,89,0,0,0,0,1421943134,1421943134,0.005,0.002,0,0,0,0,0,0,0,0,2,3,2,3,1,1,1,0
tcp,FIN,0.011554,2438,19242,31,29,7,13,-,1643759.75,12990133,38,40,255,255,131362247,138905400,64,481,0,0,0,16.393897,1421944473,1421944473,0.302297,0.282564,0.000666,0.000531,0.000135,0,0,0,0,0,6,9,4,3,1,1,2,0
tcp,FIN,0.055678,3078,33374,31,29,7,18,-,433492.5938,4699450.5,50,50,255,255,551521844,2697211733,62,667,0,0,74.925897,2.03474,1421934660,1421934660,1.128796,1.123755,0.000762,0.000602,0.00016,0,0,0,0,0,12,9,3,3,1,1,1,0
udp,INT,0.000004,114,0,254,0,0,0,dns,114000000,0,2,0,0,0,0,0,57,0,0,0,0,0,1421931321,1421931321,0.004,0,0,0,0,0,2,0,0,0,7,7,7,8,7,3,7,1
arp,CON,30.97818,138,84,0,0,0,0,-,23.758659,14.461792,3,3,0,0,0,0,46,28,0,0,14604.361,14604.371,1421948897,1421948928,20653.708,20653.706,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0
tcp,FIN,0.020929,3302,40478,31,29,7,21,-,1238855.25,15196522,54,56,255,255,4122475814,4122812610,61,723,0,0,21.109695,20.308983,1421944265,1421944265,0.396404,0.368745,0.000794,0.000637,0.000157,0,0,0,0,0,5,8,4,2,1,1,1,0
tcp,FIN,0.044016,3926,55074,31,29,7,27,-,702835.3125,9862777,66,68,255,255,1889635990,1889941314,59,810,0,0,41.629621,40.417283,1421937532,1421937532,0.672323,0.648224,0.000709,0.000574,0.000135,0,0,0,0,0,5,3,1,3,1,1,1,0
tcp,FIN,0.004874,4312,2456,31,29,7,7,-,6685269,3807960.75,18,18,255,255,3115674674,969474474,240,136,0,0,13.224135,0.329387,1421932377,1421932377,0.268176,0.254882,0.000684,0.000537,0.000147,0,0,0,0,0,7,4,1,1,1,1,1,0
tcp,FIN,0.14499,2958,32586,31,29,7,18,-,159845.5156,1762052.625,48,50,255,255,3046192064,901107312,62,652,0,0,191.762692,188.254727,1421944900,1421944900,3.078064,2.946327,0.000751,0.000609,0.000142,0,0,0,0,0,19,20,21,18,4,4,4,0
tcp,FIN,0.036431,3390,40254,31,29,7,22,-,731245.375,8687107,56,58,255,255,3597537078,3618477460,61,694,0,0,39.590076,39.518007,1421951938,1421951938,0.656382,0.641732,0.001491,0.00049,0.001001,0,0,0,0,0,2,4,3,2,1,1,1,0
tcp,FIN,1.153841,18578,1087890,31,29,2,370,http,128440.5703,7532628.5,348,746,255,255,2755122195,2751954382,53,1458,1,0,194.089639,117.495808,1421952502,1421952503,3.324092,1.548072,0.000658,0.000523,0.000135,0,0,1,0,0,2,1,6,2,1,1,1,0
tcp,FIN,4.488787,24448,29452,31,29,54,67,ssh,43384.54688,52268.90625,232,236,255,255,1591354485,3741230958,105,125,0,0,1237.897586,1228.707615,1421952683,1421952687,19.431977,19.098039,0.000748,0.000614,0.000134,0,0,0,0,0,1,1,1,1,1,1,1,0
tcp,FIN,0.216063,8928,320,31,29,4,1,ftp-data,306984.5625,9886.005859,14,6,255,255,1661749491,2002763452,638,53,0,0,1550.230186,66.748289,1421951674,1421951674,16.620231,43.089199,0.000622,0.000486,0.000136,0,0,0,0,0,2,2,6,6,1,1,3,0
tcp,FIN,1.255789,1684,10168,31,29,3,5,http,9963.457031,61182.25,14,18,255,255,2343234888,194724949,120,565,1,3924,8907.867057,7886.691366,1421935672,1421935673,96.502692,73.836412,0.000713,0.000566,0.000147,0,0,1,0,0,2,2,4,1,1,1,1,0
tcp,FIN,0.010934,2438,19242,31,29,7,13,-,1736967.25,13726724,38,40,255,255,2807206304,669338788,64,481,0,0,16.656557,15.823396,1421944574,1421944574,0.284135,0.266,0.000707,0.000556,0.000151,0,0,0,0,0,5,4,3,5,1,1,1,0
tcp,FIN,0.007352,3728,5474,31,29,7,7,ssh,3930359,5708378.5,32,24,255,255,618857766,619168640,117,228,0,0,14.014638,0.463777,1421948851,1421948851,0.237161,0.287696,0.000757,0.0006,0.000157,0,0,0,0,0,2,1,3,2,1,1,1,0
udp,CON,0.001075,146,178,31,29,0,0,dns,543255.8125,662325.5625,2,2,0,0,0,0,73,89,0,0,0,0,1421944327,1421944327,0.011,0.006,0,0,0,0,0,0,0,0,2,2,4,1,1,1,1,0
udp,CON,0.001057,130,162,31,29,0,0,dns,491958.375,613055.8125,2,2,0,0,0,0,65,81,0,0,0,0,1421944207,1421944207,0.006,0.008,0,0,0,0,0,0,0,0,2,3,4,2,1,1,1,0
udp,CON,0.001068,146,178,31,29,0,0,dns,546816.5,666666.6875,2,2,0,0,0,0,73,89,0,0,0,0,1421952442,1421952442,0.011,0.006,0,0,0,0,0,0,0,0,3,2,2,2,1,1,1,0
tcp,FIN,0.004672,3672,2456,31,29,7,7,-,5938356,3972602.5,18,18,255,255,3338013417,1192136339,204,136,0,0,12.546788,0.312303,1421928512,1421928512,0.255765,0.245882,0.000618,0.000486,0.000132,0,0,0,0,0,7,6,4,6,1,1,3,0
udp,CON,0.001063,146,178,31,29,0,0,dns,549388.5625,669802.5,2,2,0,0,0,0,73,89,0,0,0,0,1421936083,1421936083,0.011,0.008,0,0,0,0,0,0,0,0,3,4,2,2,2,1,1,0
tcp,FIN,1.029985,1580,10168,31,29,3,5,http,11254.5332,74595.26563,12,18,255,255,4148398536,2004052506,132,565,1,3924,9533.995865,7677.838661,1421949215,1421949216,93.600997,60.555585,0.00068,0.000532,0.000148,0,0,1,0,0,1,2,3,9,1,1,1,0
tcp,REQ,0.000003,90,0,254,0,1,0,-,119999992,0,2,0,255,0,0,0,45,0,0,0,0,0,1421933080,1421933080,0.003,0,0,0,0,0,6,0,0,0,17,14,4,7,1,1,4,0
tcp,FIN,5.668923,13142,548216,31,29,21,197,-,18465.58984,771878.5625,228,438,255,255,670149741,2863838197,58,1252,0,0,8792.893441,6302.535177,1421951869,1421951874,24.971674,12.971194,0.000629,0.0005,0.000129,0,0,0,0,0,6,10,4,4,1,1,2,0
tcp,FIN,0.004149,1036,2262,31,29,4,4,-,1831766.625,3999035.75,12,12,255,255,320856894,321162536,86,189,0,0,17.311667,0.3866,1421931230,1421931230,0.343636,0.321909,0.000737,0.000597,0.00014,0,0,0,0,0,3,5,3,3,1,1,1,0
udp,CON,0.000925,130,162,31,29,0,0,dns,562162.1875,700540.5625,2,2,0,0,0,0,65,81,0,0,0,0,1421943289,1421943289,0.01,0.002,0,0,0,0,0,0,0,0,1,2,1,3,1,1,1,0
udp,CON,0.000931,146,178,31,29,0,0,dns,627282.5,764769.0625,2,2,0,0,0,0,73,89,0,0,0,0,1421931836,1421931836,0.004,0.003,0,0,0,0,0,0,0,0,3,4,1,6,2,1,1,0
tcp,FIN,0.155008,4238,60892,31,29,7,30,-,215730.7969,3100227,72,74,255,255,2672664711,527594263,59,823,0,0,123.542904,118.997915,1421955619,1421955619,2.178634,2.115219,0.000712,0.000586,0.000126,0,0,0,0,0,8,17,4,1,1,1,1,0
